artist,song,genre
Cloud Nothings,Didn't You,"['alternative rock', 'bubblegrunge', 'cleveland indie', 'indie punk', 'indie rock', 'modern rock', 'noise pop', 'popgaze']"
Small Black,Search Party,"['alternative dance', 'art pop', 'chillwave', 'dream pop', 'electropop', 'indie rock', 'indietronica', 'metropopolis', 'shimmer pop', 'vapor soul']"
Nickodemus,Mi Swing es Tropical,"['electro jazz', 'electronica', 'nu jazz']"
Miss Kittin,Stock Exchange,"['alternative dance', 'electra', 'electroclash', 'electronica', 'electropop', 'french techno', 'new rave']"
Crazy P,Changes,"['deep disco house', 'deep house', 'disco house', 'electronica', 'indie soul', 'nu disco', 'vocal house']"
J Rocc,Play This (Also),"['alternative hip hop', 'turntablism']"
Purity Ring,Obedear,"['art pop', 'canadian electropop', 'chillwave', 'dark pop', 'dream pop', 'edmonton indie', 'electropop', 'grave wave', 'indietronica', 'metropopolis', 'shimmer pop']"
Poolside,Slow Down,"['alternative dance', 'indie soul', 'nu disco']"
Chief Keef,I Don't Like,"['chicago bop', 'chicago drill', 'chicago rap', 'drill', 'hip hop', 'rap', 'southern hip hop', 'trap', 'underground hip hop']"
Grizzly Bear,Sleeping Ute,"['alternative dance', 'alternative rock', 'art pop', 'baroque pop', 'brooklyn indie', 'chillwave', 'dream pop', 'experimental pop', 'indie pop', 'indie rock', 'modern rock', 'new weird america', 'stomp and holler']"
ScHoolboy Q,Hands On the Wheel (feat. a$Ap Rocky),"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop']"
Memoryhouse,The Kids Were Wrong,"['chillwave', 'indie dream pop', 'ontario indie']"
Memoryhouse,Walk With Me,"['chillwave', 'indie dream pop', 'ontario indie']"
Matthew Dear,Her Fantasy,"['alternative dance', 'electronica', 'experimental pop', 'microhouse', 'minimal techno']"
After The Fire,Der Kommissar,"['new wave', 'new wave pop']"
Clyde Carson,Slow Down,"['cali rap', 'hyphy', 'oakland hip hop', 'west coast rap', 'west coast trap']"
Grimes,Genesis,"['art pop', 'canadian electropop', 'chillwave', 'dance pop', 'grave wave', 'indietronica', 'metropopolis', 'pop']"
Dirty Projectors,About to Die,"['art pop', 'brooklyn indie', 'experimental pop', 'indie pop', 'indie rock']"
The War On Drugs,Best Night,"['indie rock', 'philly indie']"
The War On Drugs,Brothers,"['indie rock', 'philly indie']"
M83,We Own The Sky,"['french shoegaze', 'french synthpop', 'indietronica', 'metropopolis', 'neo-synthpop']"
Sugarman Three,Chicken Half,"['funk', 'hammond organ']"
Stacey Q,Two Of Hearts,"['freestyle', 'hi-nrg']"
New Order,The Perfect Kiss,"['dance rock', 'madchester', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'pop rock', 'post-punk', 'rock', 'synthpop', 'uk post-punk']"
A Tribe Called Quest,Can I Kick It?,"['alternative hip hop', 'conscious hip hop', 'east coast hip hop', 'gangster rap', 'golden age hip hop', 'hardcore hip hop', 'hip hop', 'jazz rap', 'queens hip hop', 'rap']"
Miguel,Sure Thing,"['dance pop', 'pop', 'r&b', 'urban contemporary']"
M83,Kim & Jessie,"['french shoegaze', 'french synthpop', 'indietronica', 'metropopolis', 'neo-synthpop']"
M83,Outro,"['french shoegaze', 'french synthpop', 'indietronica', 'metropopolis', 'neo-synthpop']"
Empire of the Sun,We Are the People,"['alternative dance', 'australian dance', 'australian electropop', 'dance rock', 'electropop', 'indietronica', 'neo-synthpop']"
Hot Chip,Look At Where We Are,"['alternative dance', 'art pop', 'dance rock', 'electronica', 'electropop', 'filter house', 'indie rock', 'indietronica', 'modern rock', 'neo-synthpop', 'new rave']"
Gary Clark Jr.,Don't Owe You a Thang,"['blues rock', 'electric blues', 'modern blues', 'modern blues rock', 'rock', 'soul blues', 'texas blues']"
Kendrick Lamar,Money Trees,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
Dâm-Funk,Hood Pass Intact feat. MC Eiht,"['popping', 'synth funk', 'wonky']"
FIDLAR,Got No Money,"['australian garage punk', 'indie garage rock', 'noise pop']"
2 Chainz,Birthday Song,"['atl hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
FIDLAR,Oh,"['australian garage punk', 'indie garage rock', 'noise pop']"
FIDLAR,No Waves,"['australian garage punk', 'indie garage rock', 'noise pop']"
FIDLAR,Wake Bake Skate,"['australian garage punk', 'indie garage rock', 'noise pop']"
FIDLAR,No Ass,"['australian garage punk', 'indie garage rock', 'noise pop']"
FIDLAR,Black Out Stout,"['australian garage punk', 'indie garage rock', 'noise pop']"
Crystal Castles,Plague,"['alternative dance', 'bitpop', 'digital hardcore', 'indietronica', 'neo-synthpop', 'new rave', 'nintendocore']"
Crystal Castles,Kerosene,"['alternative dance', 'bitpop', 'digital hardcore', 'indietronica', 'neo-synthpop', 'new rave', 'nintendocore']"
Crystal Castles,Wrath Of God,"['alternative dance', 'bitpop', 'digital hardcore', 'indietronica', 'neo-synthpop', 'new rave', 'nintendocore']"
Crystal Castles,Pale Flesh,"['alternative dance', 'bitpop', 'digital hardcore', 'indietronica', 'neo-synthpop', 'new rave', 'nintendocore']"
DIIV,Past Lives,"['brooklyn indie', 'chillwave', 'dream pop', 'dreamo', 'indie rock', 'indie surf', 'modern alternative rock', 'modern dream pop', 'modern rock', 'neo-psychedelic', 'nu gaze', 'shoegaze']"
Status Quo,Pictures Of Matchstick Men,"['album rock', 'blues rock', 'british blues', 'classic rock', 'glam rock', 'hard rock', 'rock']"
Craig Bratley,Get Up,need_to_add
Tom Tykwer,Cloud Atlas End Title,"['german soundtrack', 'scorecore', 'soundtrack']"
Wild Belle,Keep You,['shimmer pop']
Bibio,Anything New,"['ambient folk', 'chillwave', 'downtempo', 'electronica', 'folktronica', 'indie soul']"
Miguel,Adorn,"['dance pop', 'pop', 'r&b', 'urban contemporary']"
Toots & The Maytals,Louie Louie,"['reggae', 'rocksteady', 'roots reggae', 'ska']"
Barrington Levy,Under Mi Sensi,"['dub', 'lovers rock', 'old school dancehall', 'reggae', 'reggae fusion', 'roots reggae']"
Burial,Loner,"['classic dubstep', 'electronica', 'hauntology', 'microhouse', 'uk bass', 'wonky']"
Barrington Levy,Murderer,"['dub', 'lovers rock', 'old school dancehall', 'reggae', 'reggae fusion', 'roots reggae']"
Tanner Ross,Space Cakes - Original,need_to_add
Radiohead,"There, There","['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']"
Kavinsky,Nightcall,"['alternative dance', 'electro house', 'filter house']"
Toyan,Jacket & Tie,"['deep ragga', 'old school dancehall', 'roots reggae']"
The Rolling Stones,Doom And Gloom - Jeff Bhasker Mix,"['british invasion', 'classic rock', 'rock']"
Tanlines,All Of Me,"['balearic', 'brooklyn indie', 'chillwave', 'shimmer pop']"
Trinidad James,Females Welcomed (feat. Reija Lee),"['atl hip hop', 'rap', 'southern hip hop', 'trap']"
Darq E Freaker,Blueberry (Pills & Cocaine) (feat. Danny Brown),"['instrumental grime', 'purple sound']"
FIDLAR,Max Can't Surf,"['australian garage punk', 'indie garage rock', 'noise pop']"
FIDLAR,Wait for the Man,"['australian garage punk', 'indie garage rock', 'noise pop']"
Todd Terje,Inspector Norse,"['alternative dance', 'balearic', 'electronica', 'new rave', 'norwegian space disco', 'nu disco']"
Chief Keef,Love Sosa,"['chicago bop', 'chicago drill', 'chicago rap', 'drill', 'hip hop', 'rap', 'southern hip hop', 'trap', 'underground hip hop']"
Softwar,This Time Around,['organic ambient']
Canyons,See Blind Through,need_to_add
Grimes,Vowels = space and time,"['art pop', 'canadian electropop', 'chillwave', 'dance pop', 'grave wave', 'indietronica', 'metropopolis', 'pop']"
Grimes,Be A Body,"['art pop', 'canadian electropop', 'chillwave', 'dance pop', 'grave wave', 'indietronica', 'metropopolis', 'pop']"
James Brown,Unchained (The Payback / Untouchable),"['funk', 'soul']"
5kinAndBone5,Stomp - Dirty,['vapor house']
Parquet Courts,Borrowed Time,"['alternative rock', 'brooklyn indie', 'denton tx indie', 'indie rock', 'modern alternative rock', 'modern rock', 'neo-psychedelic', 'noise pop']"
Gucci Mane,Young N*****,"['atl hip hop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Trinidad James,All Gold Everything,"['atl hip hop', 'rap', 'southern hip hop', 'trap']"
Ben Pearce,What I Might Do - Club Mix,"['deep disco house', 'minimal tech house']"
Icona Pop,I Love It (feat. Charli XCX) - Original Version,"['candy pop', 'dance pop', 'edm', 'electropop', 'metropopolis', 'pop', 'pop dance', 'swedish electropop', 'swedish synthpop']"
Swearin',Kenosha,"['bubblegrunge', 'indie punk', 'philly indie']"
Purity Ring,Fineshrine,"['art pop', 'canadian electropop', 'chillwave', 'dark pop', 'dream pop', 'edmonton indie', 'electropop', 'grave wave', 'indietronica', 'metropopolis', 'shimmer pop']"
Disclosure,Flow,"['edm', 'house', 'pop', 'uk dance']"
Booba,C'Est La Vie,"['french hip hop', 'old school rap francais', 'pop urbaine', 'rap conscient']"
Booba,Caramel,"['french hip hop', 'old school rap francais', 'pop urbaine', 'rap conscient']"
Booba,O.G,"['french hip hop', 'old school rap francais', 'pop urbaine', 'rap conscient']"
Lunatic,HLM 3,need_to_add
Funkagenda,The Mighty Ming - Original Club Mix,"['funky tech house', 'progressive house', 'tech house']"
Baauer,Harlem Shake,"['bass trap', 'electro house', 'electronic trap', 'vapor twitch']"
Lunice,Purp Walk,"['glitch hop', 'wonky']"
Chaz Van Queen,Do You Like It? (Feat. Kool A.D),need_to_add
Gucci Mane,Gucci On The Rise,"['atl hip hop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Chief Keef,Hate Bein' Sober,"['chicago bop', 'chicago drill', 'chicago rap', 'drill', 'hip hop', 'rap', 'southern hip hop', 'trap', 'underground hip hop']"
Lil Reese,Traffic,"['chicago bop', 'chicago drill', 'chicago rap', 'drill', 'trap']"
Rick Ross,Hold Me Back,"['dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Odd Future,Oldie,"['hip hop', 'rap']"
Drake,Started From the Bottom,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
Baauer,Dum Dum,"['bass trap', 'electro house', 'electronic trap', 'vapor twitch']"
Just Blaze and Baauer,Higher - Extended,need_to_add
Juicy J,"Gone, Gone","['crunk', 'dirty south rap', 'gangster rap', 'hip hop', 'memphis hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
The Blackbyrds,Rock Creek Park,"['classic soul', 'disco', 'funk', 'jazz funk', 'post-disco', 'quiet storm', 'soul']"
Bad Brains,Leaving Babylon,"['alternative rock', 'black punk', 'dc hardcore', 'hardcore punk', 'nyhc', 'punk', 'ska punk']"
UZ,Trap Shit V7,"['melodic rap', 'philly rap', 'rap', 'trap']"
Inner City,Good Life - Original 12'' Mix,"['classic house', 'deep house', 'detroit house', 'diva house', 'hardcore techno', 'hip house', 'vocal house']"
Inner City,Big Fun - Original 12'' Mix,"['classic house', 'deep house', 'detroit house', 'diva house', 'hardcore techno', 'hip house', 'vocal house']"
A-Trak,Piss Test (feat. Juicy J & Dany Brown),"['canadian electronic', 'disco house', 'edm', 'electro house', 'electronic trap', 'turntablism']"
Sky Saxon & The Seeds,Can't Seem To Make You Mine,need_to_add
Classixx,Borderline,"['alternative dance', 'chillwave', 'electrofox', 'filter house', 'indie poptimism', 'nu disco']"
Toni Toni Lee,Elevate - Q45 Remix,need_to_add
Carte Blanche (feat. Alexis Taylor),With You (feat. Alexis Taylor),need_to_add
Grum,Can't Shake This Feeling,"['edm', 'filter house', 'progressive house', 'progressive trance']"
Blaqstarr,Check Me Out Like,['bmore']
YACHT,Second Summer,need_to_add
Wavves,Demon To Lean On,"['indie garage rock', 'indie rock', 'indie surf', 'lo-fi', 'noise pop', 'noise rock', 'nu gaze', 'san diego indie', 'surf punk']"
Beach House,Walk In The Park,"['baltimore indie', 'dream pop', 'dreamo', 'modern dream pop']"
Azari & III,Reckless (With Your Love),['canadian electronic']
Azari & III,Reckless (With Your Love) - Tensnake Remix,['canadian electronic']
Wiley,Never Be Your Woman (Shy FX Radio Edit) [feat. Emeli Sandé],need_to_add
Iamsu!,(Bonus) Break Her Down,"['cali rap', 'hyphy', 'west coast trap']"
Danny Brown,Molly Ringwald,"['alternative hip hop', 'detroit hip hop', 'escape room', 'hip hop', 'rap', 'southern hip hop', 'underground hip hop']"
Problem,8 Feet Tall,"['cali rap', 'gangster rap', 'hyphy', 'pop rap', 'rap', 'southern hip hop', 'trap', 'west coast trap']"
Flatbush Zombies,36 Chamber Flow,"['escape room', 'hip hop', 'psychedelic hip hop', 'rap', 'underground hip hop']"
Western Tink,Trill Hoe,need_to_add
Toro y Moi,Saturday Love,"['alternative dance', 'alternative r&b', 'chillwave', 'indie soul', 'indietronica', 'new rave']"
The Neighbourhood,Sweater Weather,"['modern alternative rock', 'modern rock', 'pop', 'shimmer pop']"
The Partysquad,Oh My - Club Mix,"['dutch hip hop', 'dutch pop', 'moombahton']"
Purity Ring,Saltkin,"['art pop', 'canadian electropop', 'chillwave', 'dark pop', 'dream pop', 'edmonton indie', 'electropop', 'grave wave', 'indietronica', 'metropopolis', 'shimmer pop']"
Purity Ring,Lofticries,"['art pop', 'canadian electropop', 'chillwave', 'dark pop', 'dream pop', 'edmonton indie', 'electropop', 'grave wave', 'indietronica', 'metropopolis', 'shimmer pop']"
Iamsu!,Get It In,"['cali rap', 'hyphy', 'west coast trap']"
The Partysquad,My Bad - Club Mix,"['dutch hip hop', 'dutch pop', 'moombahton']"
2 Chainz,I'm Different,"['atl hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Daft Punk,Get Lucky - Radio Edit,"['electro', 'filter house']"
EMP DASME,Had A Dream,need_to_add
CHVRCHES,Recover,"['dance pop', 'electropop', 'indie pop', 'metropopolis', 'neo-synthpop', 'shimmer pop']"
CHVRCHES,Now Is Not the Time,"['dance pop', 'electropop', 'indie pop', 'metropopolis', 'neo-synthpop', 'shimmer pop']"
Problem,MDA,"['cali rap', 'gangster rap', 'hyphy', 'pop rap', 'rap', 'southern hip hop', 'trap', 'west coast trap']"
French Montana,Pop That,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Meek Mill,Young & Gettin' It - feat. Kirko Bangz,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Iamsu!,Best Wishes,"['cali rap', 'hyphy', 'west coast trap']"
Iamsu!,Kids,"['cali rap', 'hyphy', 'west coast trap']"
Paper Diamond,Levitate,['glitch hop']
Major Lazer,Get Free (feat. Amber of Dirty Projectors),"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop dance', 'pop rap', 'tropical house']"
Future Islands,Balance,"['alternative dance', 'baltimore indie', 'chillwave', 'indie rock', 'modern rock']"
The Partysquad,The Lion - Original Mix,"['dutch hip hop', 'dutch pop', 'moombahton']"
The Partysquad,For Your Love - Club Edit,"['dutch hip hop', 'dutch pop', 'moombahton']"
The Partysquad,For Your Love - Olav Basoski Remix,"['dutch hip hop', 'dutch pop', 'moombahton']"
Quadron,Slippin’,['scandinavian r&b']
Peaches,Take You On,"['alternative dance', 'art pop', 'dance-punk', 'electroclash', 'escape room', 'new rave']"
Juicy J,One of Those Nights,"['crunk', 'dirty south rap', 'gangster rap', 'hip hop', 'memphis hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Daft Punk,Get Lucky - Daft Punk Remix,"['electro', 'filter house']"
Adonis,No Way Back,"['arab alternative', 'lebanese indie']"
On The House featuring Marshall Jefferson,Ride The Rhythm,need_to_add
Benny Benassi,Move Your Body - Extended Mix,"['edm', 'electro house', 'pop dance']"
Neil Young,Rockin' In The Free World,"['album rock', 'canadian singer-songwriter', 'classic canadian rock', 'classic rock', 'mellow gold', 'permanent wave', 'rock', 'roots rock', 'singer-songwriter']"
Tame Impala,Feels Like We Only Go Backwards,"['australian psych', 'neo-psychedelic']"
Tame Impala,Half Full Glass of Wine,"['australian psych', 'neo-psychedelic']"
Major Lazer,"Bubble Butt [Radio Mix] [feat. Bruno Mars, 2 Chainz, Tyga & Mystic]","['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop dance', 'pop rap', 'tropical house']"
J. Dash,Wop (Official Version),['pop rap']
Finatticz,Don’t Drop That Thun Thun,need_to_add
Red Hot Chili Peppers,Give It Away,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave']"
Kurt Vile,Wakin on a Pretty Day,"['indie rock', 'modern folk rock', 'neo-psychedelic', 'philly indie', 'roots rock']"
Clockwork,Hulk (Dillon Francis Remix),need_to_add
Dillon Francis and Kill The Noise,Dill the Noise,need_to_add
The Raveonettes,Dead Sound,"['danish alternative rock', 'danish rock', 'modern dream pop']"
Brillz & Teddy Tuxedo,Rvtchet Bitch,need_to_add
Savage,Swing,"['atl hip hop', 'rap', 'trap']"
Disclosure,You & Me - Baauer Remix,"['edm', 'house', 'pop', 'uk dance']"
Dog Blood,Next Order,['electro house']
Duck Sauce,It's You,"['disco house', 'edm', 'electro house', 'filter house', 'house', 'vocal house']"
Kendrick Lamar,m.A.A.d city,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
Juicy J,Bounce It,"['crunk', 'dirty south rap', 'gangster rap', 'hip hop', 'memphis hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Roach Gigz,Pu$$y Magnet (feat. Keayshawn),"['cali rap', 'hyphy', 'west coast trap']"
A$AP Rocky,Fashion Killa,"['east coast hip hop', 'hip hop', 'rap', 'trap']"
DJ Khaled,I Wanna Be With You,"['dance pop', 'dirty south rap', 'hip hop', 'miami hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Sage The Gemini,Gas Pedal (feat. IamSu),"['dance pop', 'hyphy', 'pop rap', 'southern hip hop']"
Sage The Gemini,Red Nose,"['dance pop', 'hyphy', 'pop rap', 'southern hip hop']"
Rocko,"U.O.E.N.O. Remix (feat. Future, Wiz Khalifa)","['atl hip hop', 'atl trap', 'dirty south rap', 'gangster rap', 'houston rap', 'old school atlanta hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Flap Jack,VERSACE,need_to_add
Action Bronson,Strictly 4 My Jeeps,"['alternative hip hop', 'east coast hip hop', 'escape room', 'hip hop', 'nyc rap', 'queens hip hop', 'rap', 'southern hip hop', 'underground hip hop']"
Duke Dumont,The Giver - Original Mix,"['destroy techno', 'edm', 'electro house', 'house', 'pop dance', 'progressive house', 'tropical house']"
Duke Dumont,Lean & Bounce,"['destroy techno', 'edm', 'electro house', 'house', 'pop dance', 'progressive house', 'tropical house']"
UGK,Swishas and Dosha - Main Version - Clean,"['dirty south rap', 'gangster rap', 'hip hop', 'houston rap', 'rap', 'southern hip hop', 'trap']"
UGK,Players Anthem,"['dirty south rap', 'gangster rap', 'hip hop', 'houston rap', 'rap', 'southern hip hop', 'trap']"
Drake,"Hold On, We're Going Home","['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
2 Chainz,Living,"['atl hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Wiz Khalifa,Taylor Gang - Bonus Track,"['dance pop', 'hip hop', 'pittsburgh rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Brian Pumper,I'm A Martian,need_to_add
Bro Safari,The Drop,"['bass trap', 'brostep', 'electro house', 'electronic trap', 'moombahton']"
MiM0SA,Drippin,"['glitch hop', 'halftime dnb', 'purple sound']"
TR/ST,Heaven,"['alternative dance', 'art pop', 'canadian electropop', 'dark synthpop']"
Glass Figure,I Need You,need_to_add
Dan Croll,From Nowhere,need_to_add
Lykke Li,I Follow Rivers,"['art pop', 'electropop', 'pop', 'swedish electropop', 'swedish indie pop', 'swedish pop']"
Yelle,L'Amour Parfait,"['alternative dance', 'electro-pop francais', 'electroclash', 'electronica', 'electropop', 'filter house', 'new rave']"
Kate Boy,Northern Lights,"['electropop', 'metropopolis', 'shiver pop', 'swedish electropop', 'swedish synthpop']"
A$AP Ferg,Shabba,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop']"
A$AP Ferg,Work,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop']"
A$AP Ferg,Work REMIX,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop']"
Kate Boy,The Way We Are,"['electropop', 'metropopolis', 'shiver pop', 'swedish electropop', 'swedish synthpop']"
Rocko,"U.O.E.N.O. (feat. Rick Ross, Future)","['atl hip hop', 'atl trap', 'dirty south rap', 'gangster rap', 'houston rap', 'old school atlanta hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
A-1,Now You Do,need_to_add
Classixx,Holding On - Jerome LOL Remix,"['alternative dance', 'chillwave', 'electrofox', 'filter house', 'indie poptimism', 'nu disco']"
Celeda,Music Is the Answer - Original Extended 12-Inch Mix,"['garage house', 'tribal house', 'vocal house']"
Flosstradamus & DJ Sliink,Test Me - UZ Remix,need_to_add
Flosstradamus & DJ Sliink,Test Me,need_to_add
DJ Khaled,No New Friends - SFTB Remix,"['dance pop', 'dirty south rap', 'hip hop', 'miami hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Jeezy,R.I.P.,"['atl hip hop', 'crunk', 'dirty south rap', 'gangster rap', 'hip hop', 'old school atlanta hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Badfinger,Baby Blue,"['album rock', 'art rock', 'beatlesque', 'blues rock', 'classic rock', 'country rock', 'folk rock', 'jangle pop', 'mellow gold', 'power pop', 'psychedelic rock', 'rock', 'roots rock', 'soft rock', 'symphonic rock']"
Danny Brown,Dip,"['alternative hip hop', 'detroit hip hop', 'escape room', 'hip hop', 'rap', 'southern hip hop', 'underground hip hop']"
Danny Brown,25 Bucks [feat. Purity Ring],"['alternative hip hop', 'detroit hip hop', 'escape room', 'hip hop', 'rap', 'southern hip hop', 'underground hip hop']"
Sam Sparro,Fascism,"['australian dance', 'electropop']"
Riff Raff,Marc Jacobs,['trap']
Iron Galaxy & Sexlife,One Of Us - Original Mix,need_to_add
Paper Diamond,Can We Go Up?,['glitch hop']
Best Coast,This Lonely Morning,"['indie pop', 'indie rock', 'indie surf', 'la indie', 'metropopolis']"
The Chambers Brothers,Time Has Come Today,"['classic garage rock', 'psychedelic rock', 'psychedelic soul']"
Crystal Castles,Sad Eyes,"['alternative dance', 'bitpop', 'digital hardcore', 'indietronica', 'neo-synthpop', 'new rave', 'nintendocore']"
Wiley,Wearing My Rolex - Radio Edit,need_to_add
Duke Dumont,Need U (100%) [feat. A*M*E] [Radio Edit],"['destroy techno', 'edm', 'electro house', 'house', 'pop dance', 'progressive house', 'tropical house']"
Parquet Courts,Stoned and Starving,"['alternative rock', 'brooklyn indie', 'denton tx indie', 'indie rock', 'modern alternative rock', 'modern rock', 'neo-psychedelic', 'noise pop']"
Arcade Fire,Reflektor,"['baroque pop', 'canadian indie', 'indie rock', 'modern rock', 'permanent wave', 'quebec indie', 'rock']"
Breach,Jack,"['baltimore indie', 'dream pop', 'dreamo', 'modern dream pop']"
Lorde,Tennis Court,"['art pop', 'dance pop', 'electropop', 'metropopolis', 'nz pop', 'pop']"
Janelle Monáe,Primetime (feat. Miguel),"['afrofuturism', 'alternative r&b', 'atl hip hop', 'dance pop', 'electropop', 'escape room', 'neo soul', 'pop', 'r&b', 'urban contemporary']"
Drake,"Hold On, We're Going Home","['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
Vampire Weekend,Hannah Hunt,"['baroque pop', 'indie rock', 'modern rock']"
Disclosure,Latch,"['edm', 'house', 'pop', 'uk dance']"
Autre Ne Veut,Play by Play,"['alternative r&b', 'experimental pop']"
Sky Ferreira,I Blame Myself,"['art pop', 'candy pop', 'dance pop', 'electropop', 'escape room', 'indie pop', 'la indie', 'metropopolis', 'neo-synthpop', 'pop']"
Earl Sweatshirt,Sunday,"['alternative hip hop', 'experimental hip hop', 'hip hop', 'rap', 'underground hip hop']"
Vampire Weekend,Step,"['baroque pop', 'indie rock', 'modern rock']"
Blood Orange,You're Not Good Enough,"['alternative r&b', 'art pop', 'chillwave', 'electropop', 'escape room', 'indie soul', 'metropopolis']"
Todd Terje,Strandbar (disko),"['alternative dance', 'balearic', 'electronica', 'new rave', 'norwegian space disco', 'nu disco']"
Rhye,Open,"['downtempo', 'indie soul', 'indietronica', 'shimmer pop']"
HAIM,Falling,"['art pop', 'indie pop', 'metropopolis']"
Disclosure,White Noise,"['edm', 'house', 'pop', 'uk dance']"
Destruction Unit,Bumpy Road,"['garage pop', 'psychedelic punk']"
A$AP Ferg,Shabba,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop']"
A$AP Ferg,Work REMIX,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop']"
Tyga,Dope,"['dance pop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Arcade Fire,Here Comes The Night Time II,"['baroque pop', 'canadian indie', 'indie rock', 'modern rock', 'permanent wave', 'quebec indie', 'rock']"
Glass Candy,Warm In The Winter,"['alternative dance', 'electroclash', 'electropop', 'neo-synthpop', 'new rave']"
Black Harmony,Don't Let It Get to Your Head,need_to_add
ASTR,We Fall Down,"['alt z', 'dance pop', 'electropop', 'norwegian pop', 'pop', 'post-teen pop', 'tropical house', 'uk pop']"
ASTR,R U With Me,"['alt z', 'dance pop', 'electropop', 'norwegian pop', 'pop', 'post-teen pop', 'tropical house', 'uk pop']"
ASTR,Blue Hawaii,"['alt z', 'dance pop', 'electropop', 'norwegian pop', 'pop', 'post-teen pop', 'tropical house', 'uk pop']"
ASTR,Razor,"['alt z', 'dance pop', 'electropop', 'norwegian pop', 'pop', 'post-teen pop', 'tropical house', 'uk pop']"
Rihanna,Stay,"['barbadian pop', 'dance pop', 'pop', 'urban contemporary']"
Global Deejays,The Sound Of San Francisco - Progressive Album Mix,['pop house']
Cream,Sunshine Of Your Love,"['album rock', 'art rock', 'blues rock', 'classic rock', 'folk rock', 'hard rock', 'psychedelic rock', 'rock', 'roots rock', 'supergroup']"
Jefferson Airplane,Somebody to Love,"['acid rock', 'blues rock', 'classic rock', 'folk rock', 'psychedelic rock', 'rock']"
Scott McKenzie,San Francisco (Be Sure to Wear Flowers In Your Hair) - Single Version,"['bubblegum pop', 'folk rock']"
Jefferson Airplane,White Rabbit,"['acid rock', 'blues rock', 'classic rock', 'folk rock', 'psychedelic rock', 'rock']"
Afrolicious,Pleasure Power (DJ Smash Disco Remix),need_to_add
Kanye West,Bound 2,"['chicago rap', 'rap']"
Beyoncé,Drunk in Love,"['dance pop', 'pop', 'r&b']"
Gesaffelstein,Viol - Original Mix,"['dark clubbing', 'destroy techno']"
Mr Little Jeans,Good Mistake,"['chillwave', 'electropop', 'indie poptimism', 'shimmer pop']"
Mr Little Jeans,Runaway,"['chillwave', 'electropop', 'indie poptimism', 'shimmer pop']"
Phantogram,Fall In Love,"['chillwave', 'electropop', 'indietronica', 'metropopolis', 'modern rock']"
Sky Ferreira,You’re Not The One,"['art pop', 'candy pop', 'dance pop', 'electropop', 'escape room', 'indie pop', 'la indie', 'metropopolis', 'neo-synthpop', 'pop']"
Yeah Yeah Yeahs,Sacrilege,"['alternative dance', 'alternative rock', 'dance-punk', 'indie rock', 'modern rock', 'new rave']"
